initiator_ip,responder_ip,protocol,duration,total_bytes,total_packets,byte_ratio,packet_ratio
192.168.29.190,192.168.29.1,TCP,0.236231,1097,15,0.4366453965360073,0.5333333333333333
192.168.29.190,192.168.29.1,TCP,0.233304,1154,15,0.4220103986135182,0.5333333333333333
192.168.29.190,192.168.29.1,TCP,0.245628,1100,14,0.44272727272727275,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.245882,1118,15,0.43559928443649376,0.5333333333333333
192.168.29.190,192.168.29.1,TCP,0.261699,966,14,0.5113871635610766,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.264574,1020,15,0.4843137254901961,0.5333333333333333
192.168.29.190,192.168.29.1,TCP,0.26999,896,14,0.5513392857142857,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.24884,1123,14,0.4390026714158504,0.5714285714285714
192.168.29.190,192.168.29.1,TCP,0.307886,1069,13,0.4106641721234799,0.5384615384615384
192.168.29.190,192.168.29.1,TCP,0.311629,1033,13,0.4249757986447241,0.5384615384615384
192.168.29.190,20.244.99.23,TCP,0.423921,5692,16,0.7984891075193253,0.5
192.168.29.190,192.168.29.1,TCP,0.316239,1123,15,0.45592163846838824,0.5333333333333333
192.168.29.190,192.168.29.1,TCP,0.318331,1125,15,0.45511111111111113,0.5333333333333333
192.168.29.190,192.168.29.1,TCP,0.320489,1089,15,0.4701561065197429,0.5333333333333333
192.168.29.190,192.168.29.1,TCP,0.322819,1120,15,0.45535714285714285,0.5333333333333333
192.168.29.190,192.168.29.1,TCP,0.326839,1120,15,0.45535714285714285,0.5333333333333333
192.168.29.190,192.168.29.1,TCP,0.36156,1084,15,0.470479704797048,0.5333333333333333
192.168.29.190,192.168.29.1,TCP,0.38238,1108,15,0.4575812274368231,0.5333333333333333
192.168.29.190,192.168.29.1,TCP,0.382649,1082,15,0.4685767097966728,0.5333333333333333
192.168.29.190,192.168.29.1,TCP,0.384351,1058,15,0.4792060491493384,0.5333333333333333
192.168.29.190,192.168.29.1,TCP,0.387001,1123,15,0.45592163846838824,0.5333333333333333
192.168.29.190,192.168.29.1,TCP,0.423017,1126,15,0.4547069271758437,0.5333333333333333
192.168.29.190,192.168.29.1,TCP,0.435268,1090,15,0.46972477064220186,0.5333333333333333
192.168.29.190,192.168.29.1,TCP,0.463592,1107,15,0.45799457994579945,0.5333333333333333
192.168.29.190,192.168.29.1,TCP,0.464007,1109,15,0.4571686203787196,0.5333333333333333
192.168.29.190,192.168.29.1,TCP,0.46441,1073,15,0.4725069897483691,0.5333333333333333
192.168.29.190,192.168.29.1,TCP,0.465119,1115,15,0.45739910313901344,0.5333333333333333
192.168.29.190,192.168.29.1,TCP,1.194135,132,2,1.0,1.0
192.168.29.190,192.168.29.1,TCP,1.191665,132,2,1.0,1.0
192.168.29.190,192.168.29.1,TCP,1.192979,132,2,1.0,1.0
192.168.29.190,192.168.29.1,TCP,1.19165,132,2,1.0,1.0
192.168.29.190,192.168.29.1,TCP,1.190303,132,2,1.0,1.0
192.168.29.190,192.168.29.1,TCP,1.191803,132,2,1.0,1.0
192.168.29.190,192.168.29.1,TCP,1.189073,132,2,1.0,1.0
192.168.29.190,192.168.29.1,TCP,1.186752,132,2,1.0,1.0
192.168.29.190,192.168.29.1,TCP,1.471848,799,11,0.4355444305381727,0.5454545454545454
192.168.29.190,192.168.29.1,TCP,1.474675,776,10,0.4484536082474227,0.6
192.168.29.190,192.168.29.1,TCP,1.474231,348,6,0.6896551724137931,0.6666666666666666
192.168.29.190,192.168.29.1,TCP,1.427883,241,4,0.5477178423236515,0.5
192.168.29.190,192.168.29.1,TCP,1.473576,787,10,0.44218551461245237,0.6
192.168.29.190,192.168.29.1,TCP,1.517907,240,4,0.775,0.75
192.168.29.190,192.168.29.1,TCP,1.455155,186,3,0.7096774193548387,0.6666666666666666
192.168.29.190,192.168.29.1,TCP,1.468528,457,8,0.5251641137855579,0.5
192.168.29.190,192.168.29.1,TCP,1.446145,186,3,0.7096774193548387,0.6666666666666666
192.168.29.190,192.168.29.1,TCP,1.467959,187,3,0.7058823529411765,0.6666666666666666
192.168.29.190,192.168.29.1,TCP,1.420834,662,8,0.44410876132930516,0.625
192.168.29.190,192.168.29.1,TCP,1.536409,668,8,0.44011976047904194,0.625
192.168.29.190,35.156.203.115,TCP,0.540954,7105,10,0.3003518648838846,0.5
